用电企业编号,用电企业名称,日期,用电总和,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
LU75,惠州市海王子首创学习型酒店有限公司,2020-11-02,0.3618,0.01542,0.01812,0.01512,0.01212,0.01212,0.00912,0.01806,0.02112,0.01818,0.01812,0.01812,0.01512,0.02118,0.01818,0.01524,0.0153,0.01224,0.01536,0.0183,0.01542,0.01524,0.01236,0.01536,0.0123
LU75,惠州市海王子首创学习型酒店有限公司,2020-11-03,0.37392,0.0153,0.01836,0.00918,0.01212,0.01218,0.00912,0.01812,0.01806,0.01818,0.01512,0.01806,0.0153,0.01806,0.01818,0.0153,0.01518,0.01512,0.01218,0.0186,0.01836,0.01524,0.0153,0.01524,0.03336
LU75,惠州市海王子首创学习型酒店有限公司,2020-11-04,0.3609,0.02712,0.01512,0.01212,0.01206,0.01212,0.01212,0.01812,0.01812,0.01506,0.01806,0.01512,0.01512,0.01506,0.02112,0.0213,0.01518,0.01518,0.01224,0.01836,0.01836,0.0183,0.01524,0.01518,0.01224
LU75,惠州市海王子首创学习型酒店有限公司,2020-11-05,0.38502,0.01218,0.01224,0.01818,0.01212,0.01212,0.01212,0.01512,0.01212,0.02106,0.02112,0.01512,0.01518,0.01512,0.01212,0.01512,0.01818,0.01512,0.0183,0.0183,0.01518,0.01518,0.0183,0.03648,0.02112
LU75,惠州市海王子首创学习型酒店有限公司,2020-11-06,0.41274,0.01812,0.01518,0.0123,0.01512,0.01512,0.01812,0.01818,0.02106,0.01518,0.01812,0.01512,0.01512,0.01818,0.01812,0.01236,0.01524,0.01518,0.0153,0.01848,0.01818,0.02124,0.0363,0.03036,0.01518
LU75,惠州市海王子首创学习型酒店有限公司,2020-11-07,0.54546,0.01818,0.01212,0.01218,0.01206,0.01212,0.00918,0.01512,0.01512,0.01518,0.02112,0.01806,0.03912,0.03006,0.03018,0.02442,0.03036,0.03036,0.0333,0.02748,0.02148,0.02736,0.02436,0.0483,0.03642
LU75,惠州市海王子首创学习型酒店有限公司,2020-11-08,0.459,0.03354,0.0183,0.0183,0.0183,0.02124,0.01518,0.02118,0.01818,0.02118,0.02424,0.02418,0.02124,0.01824,0.0183,0.01536,0.01236,0.0153,0.04218,0.02724,0.02124,0.01818,0.01554,0.01524,0.0183
LU75,惠州市海王子首创学习型酒店有限公司,2020-11-09,0.37158,0.01842,0.0183,0.0123,0.01218,0.01224,0.00924,0.01512,0.02118,0.01812,0.01518,0.01518,0.01518,0.01512,0.01812,0.01524,0.01524,0.0153,0.0123,0.01548,0.0123,0.01536,0.03024,0.0243,0.01836
LU75,惠州市海王子首创学习型酒店有限公司,2020-11-10,0.32238,0.01212,0.01218,0.01218,0.01212,0.00918,0.01212,0.01218,0.01518,0.01212,0.01506,0.01818,0.01518,0.01212,0.01218,0.01518,0.01212,0.01512,0.01806,0.01824,0.01242,0.01524,0.01224,0.01542,0.01836
LU75,惠州市海王子首创学习型酒店有限公司,2020-11-11,0.3675,0.01518,0.01236,0.00924,0.01218,0.01218,0.01512,0.01818,0.01212,0.01512,0.01512,0.01812,0.01512,0.01806,0.01512,0.01218,0.02418,0.02118,0.01812,0.02124,0.01506,0.01548,0.01542,0.01836,0.01824
LU75,惠州市海王子首创学习型酒店有限公司,2020-11-12,0.3429,0.01224,0.00936,0.01218,0.01224,0.01512,0.01512,0.01512,0.01512,0.01512,0.01818,0.02106,0.01512,0.01512,0.01212,0.01224,0.01512,0.01812,0.01512,0.01536,0.01506,0.01218,0.01536,0.01818,0.01518
LU75,惠州市海王子首创学习型酒店有限公司,2020-11-13,0.37248,0.0123,0.00918,0.01218,0.01212,0.01512,0.01512,0.01512,0.01218,0.01512,0.01812,0.01806,0.02106,0.01806,0.01818,0.01218,0.01512,0.01212,0.02106,0.02124,0.0183,0.01818,0.01824,0.01812,0.0183
